sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
spring-guides/getting-started-guides,71.18,69.28,,175.5,1749.54,,1350.061224489796,2550.183673469388,50.0,50.0,Spring,50.0,50.0
spring-guides/getting-started-macros,,4.5,,533.0,801.5,,,,0.0,2.0,Spring,100.0,0.0
spring-guides/gs-accessing-data-gemfire,31.666666666666668,10.833333333333334,,2.8333333333333335,735.5,,291.0,1726.6666666666667,3.0,3.0,Spring,50.0,50.0
spring-guides/gs-accessing-data-jpa,15.1,31.727272727272727,,256.1818181818182,1354.8636363636363,,743.6,1327.0,10.0,12.0,Spring,54.54545454545454,45.45454545454545
spring-guides/gs-accessing-data-mongodb,148.6,18.61111111111111,,249.11111111111111,1129.9444444444443,,701.6,1984.4,10.0,8.0,Spring,44.44444444444444,55.55555555555556
spring-guides/gs-accessing-data-mysql,94.7,20.782608695652176,,4.130434782608695,1166.1739130434783,,2100.6,2731.1,20.0,3.0,Spring,13.043478260869565,86.95652173913044
spring-guides/gs-accessing-data-neo4j,9.6,14.846153846153847,,159.0,1132.1538461538462,,601.0,1500.5,10.0,3.0,Spring,23.076923076923077,76.92307692307693
spring-guides/gs-accessing-data-r2dbc,71.0,1.0,,1283.0,3286.0,,752.0,3303.0,1.0,0.0,Spring,0.0,100.0
spring-guides/gs-accessing-data-rest,140.5,9.928571428571429,,632.5,1643.9285714285713,,1383.5,2184.5714285714284,14.0,0.0,Spring,0.0,100.0
spring-guides/gs-accessing-gemfire-data-rest,146.0,1.0,,0.0,0.0,,193.0,969.0,1.0,0.0,Spring,0.0,100.0
spring-guides/gs-accessing-mongodb-data-rest,45.75,5.75,,267.75,1043.0,,1137.75,1920.5,4.0,0.0,Spring,0.0,100.0
spring-guides/gs-accessing-neo4j-data-rest,125.0,6.0,,115.83333333333333,1293.8333333333333,,698.0,1602.75,4.0,2.0,Spring,33.33333333333333,66.66666666666666
spring-guides/gs-accessing-vault,187.0,4.0,,12.0,1439.0,,752.0,2890.0,1.0,0.0,Spring,0.0,100.0
spring-guides/gs-actuator-service,186.4,13.428571428571429,,37.42857142857143,1193.2857142857142,,1328.2,2201.0,5.0,2.0,Spring,28.57142857142857,71.42857142857143
spring-guides/gs-async-method,53.714285714285715,8.142857142857142,,646.4285714285714,1240.4285714285713,,1297.142857142857,2134.1428571428573,7.0,0.0,Spring,0.0,100.0
spring-guides/gs-authenticating-ldap,134.92307692307693,18.333333333333332,,45.55555555555556,947.3333333333334,,1122.8461538461538,1886.923076923077,13.0,5.0,Spring,27.77777777777778,72.22222222222221
spring-guides/gs-batch-processing,303.9230769230769,16.076923076923077,,106.07692307692308,1603.8461538461538,,533.3076923076923,2183.0,13.0,0.0,Spring,0.0,100.0
spring-guides/gs-caching,,3.0,,1.0,1408.0,,,,0.0,1.0,Spring,100.0,0.0
spring-guides/gs-centralized-configuration,162.0,8.333333333333334,,355.55555555555554,1332.2222222222222,,3398.4444444444443,3188.3333333333335,9.0,0.0,Spring,0.0,100.0
spring-guides/gs-cloud-circuit-breaker,6.0,2.5,,2.5,874.0,,665.0,3702.0,1.0,1.0,Spring,50.0,50.0
spring-guides/gs-consuming-rest,21.11111111111111,25.9,,96.2,1164.4,,1420.611111111111,2444.1111111111113,18.0,2.0,Spring,10.0,90.0
spring-guides/gs-consuming-rest-angularjs,76.5,4.6,,28.4,1063.6,,2387.0,1830.0,4.0,1.0,Spring,20.0,80.0
spring-guides/gs-consuming-rest-jquery,,5.0,,0.0,999.0,,,,0.0,1.0,Spring,100.0,0.0
spring-guides/gs-consuming-web-service,81.41025641025641,26.146341463414632,,347.1219512195122,1440.5853658536585,,1895.2307692307693,2611.051282051282,39.0,2.0,Spring,4.878048780487805,95.1219512195122
spring-guides/gs-contract-rest,312.75,3.5,,66.5,2358.25,,565.0,2159.0,4.0,0.0,Spring,0.0,100.0
spring-guides/gs-convert-jar-to-war,41.2,12.466666666666667,,277.06666666666666,817.6,,998.9333333333333,1487.9333333333334,15.0,0.0,Spring,0.0,100.0
spring-guides/gs-crud-with-vaadin,153.08333333333334,25.0,,54.61538461538461,1297.076923076923,,886.75,2232.5833333333335,12.0,1.0,Spring,7.6923076923076925,92.3076923076923
spring-guides/gs-gateway,59.0,4.5,,1.0,1607.5,,665.0,2942.0,3.0,1.0,Spring,25.0,75.0
spring-guides/gs-gradle,117.22222222222223,13.222222222222221,,209.77777777777777,1428.7777777777778,,696.8888888888889,1730.888888888889,9.0,0.0,Spring,0.0,100.0
spring-guides/gs-handling-form-submission,27.333333333333332,9.857142857142858,,10.285714285714286,1013.4285714285714,,1068.3333333333333,1752.6666666666667,3.0,4.0,Spring,57.14285714285714,42.857142857142854
spring-guides/gs-integration,0.75,11.25,,2.75,804.25,,600.0,1742.5,4.0,0.0,Spring,0.0,100.0
spring-guides/gs-intellij-idea,0.0,6.0,,15.0,1454.5,,3179.0,2920.0,1.0,1.0,Spring,50.0,50.0
spring-guides/gs-managing-transactions,0.0,8.666666666666666,,2945.3333333333335,2502.6666666666665,,680.0,1528.0,2.0,1.0,Spring,33.33333333333333,66.66666666666666
spring-guides/gs-maven,107.25,15.083333333333334,,28.0,1173.0,,1348.0,2100.9166666666665,12.0,0.0,Spring,0.0,100.0
spring-guides/gs-messaging-gcp-pubsub,53.0,16.0,,332.09090909090907,1858.2727272727273,,334.2,2579.2,5.0,6.0,Spring,54.54545454545454,45.45454545454545
spring-guides/gs-messaging-jms,19.8,17.636363636363637,,354.54545454545456,1652.909090909091,,548.6,1895.6,5.0,6.0,Spring,54.54545454545454,45.45454545454545
spring-guides/gs-messaging-rabbitmq,39.4,14.153846153846153,,233.15384615384616,1380.7692307692307,,1289.6,1888.1,10.0,3.0,Spring,23.076923076923077,76.92307692307693
spring-guides/gs-messaging-redis,53.0,12.285714285714286,,73.57142857142857,1500.2857142857142,,1304.75,2143.25,4.0,3.0,Spring,42.857142857142854,57.14285714285714
spring-guides/gs-messaging-stomp-websocket,131.2941176470588,35.875,,299.025,1205.775,,1550.2121212121212,2589.6363636363635,34.0,6.0,Spring,15.0,85.0
spring-guides/gs-multi-module,70.57894736842105,23.708333333333332,,134.16666666666666,2015.7083333333333,,2015.0526315789473,3040.4210526315787,19.0,5.0,Spring,20.833333333333336,79.16666666666666
spring-guides/gs-producing-web-service,90.66666666666667,20.705882352941178,,2.176470588235294,1120.7058823529412,,1031.4,2360.5333333333333,15.0,2.0,Spring,11.76470588235294,88.23529411764706
spring-guides/gs-reactive-rest-service,99.66666666666667,11.0,,8.8,1420.9,,2653.0,3307.6666666666665,6.0,4.0,Spring,40.0,60.0
spring-guides/gs-relational-data-access,21.5,18.375,,601.125,1630.375,,2346.0,2178.0,4.0,4.0,Spring,50.0,50.0
spring-guides/gs-rest-hateoas,3.25,10.8,,48.4,1450.2,,1304.75,2173.25,4.0,1.0,Spring,20.0,80.0
spring-guides/gs-rest-service,176.5185185185185,55.224137931034484,,194.0344827586207,1278.4827586206898,,1332.2962962962963,2258.8518518518517,54.0,4.0,Spring,6.896551724137931,93.10344827586206
