sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
googlearchive/ADBPlugin,93.90625,22.272727272727273,,2736.6363636363635,635.8484848484849,,27048.6875,1722.75,32.0,1.0,Android,3.0303030303030303,96.96969696969697
googlearchive/Abelana-Android,,1.0,,64.0,1058.0,,,,0.0,1.0,Android,100.0,0.0
googlearchive/CWSLauncher-extension,,1.0,,0.0,620.0,,,,0.0,1.0,Android,100.0,0.0
googlearchive/ChromeWebLab,8.333333333333334,31.64814814814815,,1105.0555555555557,1304.3703703703704,,1130.4666666666667,1350.2333333333333,30.0,24.0,Android,44.44444444444444,55.55555555555556
googlearchive/EventSource-Examples,9.0,3.6666666666666665,,12.333333333333334,1202.0,,68.0,1935.0,2.0,1.0,Android,33.33333333333333,66.66666666666666
googlearchive/FirebaseUI,45.5,4.0,,741.6666666666666,1546.8333333333333,,1257.1666666666667,1093.1666666666667,6.0,0.0,Android,0.0,100.0
googlearchive/IMD,119.33333333333333,11.875,,156.375,2109.375,,563.0,1903.6666666666667,3.0,5.0,Android,62.5,37.5
googlearchive/MobileShoppingAssistant-sample,141.0,2.5,,3.5,492.5,,7.0,220.0,1.0,1.0,Android,50.0,50.0
googlearchive/NodeBind,18.88888888888889,8.461538461538462,,289.38461538461536,1175.6923076923076,,414.3333333333333,1172.5555555555557,9.0,4.0,Android,30.76923076923077,69.23076923076923
googlearchive/OpenInChrome,0.0,14.384615384615385,,42.92307692307692,860.9230769230769,,1.0,630.0,1.0,12.0,Android,92.3076923076923,7.6923076923076925
googlearchive/PointerGestures,102.0,26.23076923076923,,223.5,1496.1923076923076,,424.2,1903.36,25.0,1.0,Android,3.8461538461538463,96.15384615384616
googlearchive/Propel,102.26315789473684,40.25925925925926,,609.4074074074074,2063.703703703704,,887.2105263157895,2377.4736842105262,19.0,8.0,Android,29.629629629629626,70.37037037037037
googlearchive/TemplateBinding,53.289655172413795,105.72727272727273,,468.14204545454544,1095.25,,468.36551724137934,1023.0137931034483,145.0,31.0,Android,17.613636363636363,82.38636363636364
googlearchive/abelana,0.0,7.428571428571429,,92.14285714285714,1176.4285714285713,,136.5,1890.0,2.0,5.0,Android,71.42857142857143,28.57142857142857
googlearchive/accessibility-developer-tools-extension,10.8,28.923076923076923,,351.5769230769231,1503.576923076923,,262.8,1831.2,5.0,21.0,Android,80.76923076923077,19.230769230769234
googlearchive/ace-element,,4.5,,22.0,1256.0,,,,0.0,2.0,Android,100.0,0.0
googlearchive/acre,0.0,3.5,,1475.0,264.0,,1475.0,264.0,3.0,3.0,Android,50.0,50.0
googlearchive/actionssdk-eliza-nodejs,133.0,6.0,,33.0,3215.0,,127.0,2075.0,1.0,0.0,Android,0.0,100.0
googlearchive/adaptive-ui-patterns,21.6,4.0,,27052.714285714286,2249.5714285714284,,37673.0,2333.0,5.0,2.0,Android,28.57142857142857,71.42857142857143
googlearchive/airspeed,,1.0,,104.0,1776.0,,,,0.0,1.0,Android,100.0,0.0
googlearchive/android-AccelerometerPlay,317.0,3.5,,4.0,541.0,,56.0,1667.5,2.0,0.0,Android,0.0,100.0
googlearchive/android-ActionBarCompat-ShareActionProvider,909.3333333333334,5.333333333333333,,23.666666666666668,897.6666666666666,,104.0,2377.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-ActionBarCompat-Styled,310.0,1.0,,75.0,1337.0,,75.0,1647.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-ActiveNotifications,1174.2857142857142,5.285714285714286,,103.42857142857143,1665.857142857143,,104.0,2357.0,7.0,0.0,Android,0.0,100.0
googlearchive/android-ActivitySceneTransitionBasic,208.77777777777777,6.555555555555555,,1069.3333333333333,1265.111111111111,,4506.444444444444,1836.3333333333333,9.0,0.0,Android,0.0,100.0
googlearchive/android-AlwaysOn,464.0,1.0,,1.0,375.0,,104.0,2334.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-AppRestrictionEnforcer,1139.0,2.0,,1.0,542.3333333333334,,104.0,2339.0,3.0,0.0,Android,0.0,100.0
googlearchive/android-AppRestrictionSchema,1076.0,1.0,,6.0,2184.0,,104.0,2339.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-AppRestrictions,1174.0,1.0,,2.0,69.0,,104.0,2339.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-AppShortcuts,3.5,9.0,,27.5,521.25,,27.5,525.0,4.0,0.0,Android,0.0,100.0
googlearchive/android-AsymmetricFingerprintDialog,791.625,8.5,,7.75,1101.625,,104.0,2368.0,8.0,0.0,Android,0.0,100.0
googlearchive/android-AutoBackupForApps,1554.0,1.0,,11.0,133.0,,104.0,2377.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-AutofillFramework,10.0,7.3076923076923075,,589.4615384615385,1300.7692307692307,,555.8461538461538,1368.5384615384614,13.0,0.0,Android,0.0,100.0
googlearchive/android-BasicAccessibility,837.1666666666666,5.166666666666667,,178.0,2169.8333333333335,,104.0,2377.0,6.0,0.0,Android,0.0,100.0
googlearchive/android-BasicAndroidKeyStore,482.5,2.75,,18.0,1366.25,,104.0,2368.0,4.0,0.0,Android,0.0,100.0
googlearchive/android-BasicManagedProfile,222.6,4.8,,3.2,805.0,,689.4,1611.6,5.0,0.0,Android,0.0,100.0
googlearchive/android-BasicMediaDecoder,0.0,6.0,,130.0,2677.0,,130.0,2677.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-BasicMultitouch,272.0,1.0,,28.0,430.0,,28.0,703.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-BasicNetworking,138.0,1.0,,0.0,1747.0,,104.0,2363.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-BasicNotifications,486.0,4.0,,131.25,1338.0,,864.5,1849.75,4.0,0.0,Android,0.0,100.0
googlearchive/android-BasicRenderScript,730.2,3.2,,5.4,826.2,,87.4,2051.0,5.0,0.0,Android,0.0,100.0
googlearchive/android-BasicSyncAdapter,811.4444444444445,8.11111111111111,,13.666666666666666,975.4444444444445,,92.44444444444444,2140.777777777778,9.0,0.0,Android,0.0,100.0
googlearchive/android-BasicTransition,1.0,2.0,,8.0,324.0,,1469.0,1518.0,1.0,0.0,Android,0.0,100.0
googlearchive/android-BatchStepSensor,1026.0,2.0,,4.0,1486.0,,104.0,2340.0,1.0,0.0,Android,0.0,100.0
