sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
Azure-Samples/AI-Gallery-TinyYolo,,3.0,,0.0,3022.0,,,,0.0,1.0,Azure,100.0,0.0
Azure-Samples/AI-Video-Intelligence-Solution-Accelerator,16.0,13.0,,0.0,274.0,,0.0,290.0,1.0,0.0,Azure,0.0,100.0
Azure-Samples/AIP-Custom-Tracking-Portal-Samples,1.0,1.0,,11.0,1974.0,,11.0,1976.0,1.0,0.0,Azure,0.0,100.0
Azure-Samples/AnomalyDetector,3.0,23.166666666666668,,2.0,638.3333333333334,,2.0,1623.0,1.0,5.0,Azure,83.33333333333334,16.666666666666664
Azure-Samples/Application-Insights-Click-Plugin-Demo,,1.5,,12.5,2226.5,,,,0.0,2.0,Azure,100.0,0.0
Azure-Samples/AzSearchStore,,1.0,,0.0,2244.0,,,,0.0,1.0,Azure,100.0,0.0
Azure-Samples/Azure-AD-B2C-page-templates,4.0,10.090909090909092,,3.5454545454545454,1804.4545454545455,,2.0,1413.0,1.0,10.0,Azure,90.9090909090909,9.090909090909092
Azure-Samples/Azure-Information-Protection-Samples,192.22222222222223,23.923076923076923,,8.846153846153847,944.2307692307693,,12.666666666666666,920.1111111111111,9.0,4.0,Azure,30.76923076923077,69.23076923076923
Azure-Samples/Azure-IoT-Samples-Xamarin,,2.0,,4.5,1730.5,,,,0.0,2.0,Azure,100.0,0.0
Azure-Samples/Azure-MachineLearning-ClientLibrary-Python,71.63636363636364,26.107142857142858,,74.85714285714286,1366.1785714285713,,69.72727272727273,1827.4545454545455,11.0,17.0,Azure,60.71428571428571,39.285714285714285
Azure-Samples/Azure-MachineLearning-DataScience,388.1,31.785714285714285,,69.35714285714286,1175.357142857143,,11.6,1050.4,10.0,4.0,Azure,28.57142857142857,71.42857142857143
Azure-Samples/Azure-Maps-AzureAD-Samples,0.5,4.5,,29.0,1360.0,,29.0,1360.5,2.0,0.0,Azure,0.0,100.0
Azure-Samples/Azure-Maps-Jupyter-Notebook,,1.0,,4.0,2641.0,,,,0.0,1.0,Azure,100.0,0.0
Azure-Samples/Azure-RTOS-on-Azure-Sphere-Mediatek-MT3620,67.5,5.0,,31.2,2316.2,,17.0,1680.0,4.0,1.0,Azure,20.0,80.0
Azure-Samples/Azure-Spring-Cloud-Samples,,20.0,,5.75,2270.5,,,,0.0,4.0,Azure,100.0,0.0
Azure-Samples/Azure-Stack-Hub-Foundation-Core,1.0,10.0,,3.0,1528.0,,4.0,2085.0,1.0,0.0,Azure,0.0,100.0
Azure-Samples/Azure-Time-Series-Insights,66.71428571428571,20.833333333333332,,2.9444444444444446,1644.388888888889,,31.285714285714285,2099.0,7.0,11.0,Azure,61.111111111111114,38.88888888888889
Azure-Samples/AzureMapsCodeSamples,27.369565217391305,33.15217391304348,,2.108695652173913,1204.0,,29.652173913043477,2029.2173913043478,46.0,0.0,Azure,0.0,100.0
Azure-Samples/AzureMapsCreator,,1.0,,8.0,2663.0,,,,0.0,1.0,Azure,100.0,0.0
Azure-Samples/AzureMapsGovCloudCodeSamples,0.0,1.0,,0.0,2112.0,,43.0,2197.0,1.0,0.0,Azure,0.0,100.0
Azure-Samples/AzureSpeechReactSample,,2.0,,1.0,2309.0,,,,0.0,1.0,Azure,100.0,0.0
Azure-Samples/AzureStack-AdminPowerShell-OMSIntegration,86.25,10.25,,4.25,1013.5,,1.75,958.25,8.0,0.0,Azure,0.0,100.0
Azure-Samples/AzureSubscriptionBuilder,3.375,13.166666666666666,,3.3333333333333335,630.2777777777778,,2.25,800.875,8.0,10.0,Azure,55.55555555555556,44.44444444444444
Azure-Samples/Blockchain-Ethereum-Template,0.0,13.0,,2.0,1196.3333333333333,,52.0,1749.5,2.0,1.0,Azure,33.33333333333333,66.66666666666666
Azure-Samples/Cognitive-Face-CSharp-sample,,3.0,,6.0,3727.0,,,,0.0,1.0,Azure,100.0,0.0
Azure-Samples/Cognitive-Services-LUIS-Console-Application,,1.0,,6.0,2072.0,,,,0.0,1.0,Azure,100.0,0.0
