sample,tempo para fechamento,number,creator user cargo,creator user seguidores,creator user tempo no GitHub,closed user cargo,closed user seguidores,closed user tempo no GitHub,closed_count,open_count,framework,relative_open_count,relative_closed_count
aws-samples/amazon-a2i-sample-task-uis,0.0,5.333333333333333,,7.333333333333333,1466.0,,55.0,2855.0,1.0,2.0,AWS,66.66666666666666,33.33333333333333
aws-samples/amazon-ai-building-better-bots,129.66666666666666,6.666666666666667,,7.0,1488.6666666666667,,3.0,3008.6666666666665,3.0,0.0,AWS,0.0,100.0
aws-samples/amazon-api-gateway-mutating-webhook-for-k8,0.0,1.5,,21.0,2800.0,,15.0,2254.0,2.0,0.0,AWS,0.0,100.0
aws-samples/amazon-api-gateway-url-shortener,43.4,17.0,,17.3,2746.4,,160.0,3249.8,5.0,5.0,AWS,50.0,50.0
aws-samples/amazon-apigateway-ingress-controller-blog,,2.5,,4.0,1742.5,,,,0.0,2.0,AWS,100.0,0.0
aws-samples/amazon-appflow,,1.5,,3.5,1937.5,,,,0.0,2.0,AWS,100.0,0.0
aws-samples/amazon-athena-serverless-ehms-connector,,6.0,,0.0,2339.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-aurora-labs-for-mysql,92.4,11.6,,1.7333333333333334,1235.6,,2.0,1508.2,5.0,10.0,AWS,66.66666666666666,33.33333333333333
aws-samples/amazon-aurora-migration-azure-sqldb-to-aurora-mysql,,1.0,,1.0,1833.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-aurora-pgpool-example,,1.0,,40.0,2877.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-aurora-proxysql-example,6.333333333333333,3.0,,3.0,3166.6666666666665,,74.0,3428.0,3.0,0.0,AWS,0.0,100.0
aws-samples/amazon-automated-forecast,,1.0,,6.0,1519.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-chime-live-events,30.17391304347826,22.76,,7.68,1340.88,,3.782608695652174,959.7391304347826,23.0,2.0,AWS,8.0,92.0
aws-samples/amazon-chime-meeting-broadcast-demo,15.5,9.5,,1.0,1124.6,,31.0,3836.0,2.0,8.0,AWS,80.0,20.0
aws-samples/amazon-chime-private-bot-demo,0.0,2.5,,18.0,1347.0,,18.0,1347.0,1.0,1.0,AWS,50.0,50.0
aws-samples/amazon-chime-react-native-demo,23.49230769230769,47.25,,3.4583333333333335,1144.9722222222222,,2.0615384615384613,1004.2615384615384,65.0,7.0,AWS,9.722222222222223,90.27777777777779
aws-samples/amazon-chime-sdk,5.6,23.571428571428573,,0.14285714285714285,283.0,,2.6,378.4,5.0,2.0,AWS,28.57142857142857,71.42857142857143
aws-samples/amazon-chime-sdk-amazon-connect-integration-demo,27.666666666666668,4.428571428571429,,11.428571428571429,1842.5714285714287,,1.3333333333333333,492.3333333333333,6.0,1.0,AWS,14.285714285714285,85.71428571428571
aws-samples/amazon-chime-sdk-classroom-demo,55.52173913043478,37.62068965517241,,1.3448275862068966,1683.7931034482758,,2.739130434782609,1063.8260869565217,23.0,6.0,AWS,20.689655172413794,79.3103448275862
aws-samples/amazon-chime-sdk-js-device-demo,0.0,2.0,,2.0,358.0,,2.0,358.0,1.0,0.0,AWS,0.0,100.0
aws-samples/amazon-chime-sdk-recording-demo,44.24193548387097,57.46052631578947,,3.1973684210526314,1498.0,,4.32258064516129,1905.9516129032259,62.0,14.0,AWS,18.421052631578945,81.57894736842105
aws-samples/amazon-chime-sdk-smart-video-sending-demo,7.5,11.8,,6.8,1455.8,,4.5,409.5,2.0,3.0,AWS,60.0,40.0
aws-samples/amazon-chime-voiceconnector-transcription,14.0,27.666666666666668,,14.333333333333334,2616.6666666666665,,1.0,3457.0,1.0,2.0,AWS,66.66666666666666,33.33333333333333
aws-samples/amazon-cicd-concurrency-sample-application,,1.0,,1.0,1147.0,,,,0.0,1.0,AWS,100.0,0.0
aws-samples/amazon-cloudfront-access-logs-queries,13.571428571428571,9.5,,3.5,2402.125,,17.714285714285715,2737.714285714286,7.0,1.0,AWS,12.5,87.5
aws-samples/amazon-cloudfront-functions,1.0,6.571428571428571,,14.571428571428571,2840.714285714286,,0.0,387.0,1.0,6.0,AWS,85.71428571428571,14.285714285714285
